Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminate/Unknown includes enrolments for which the information is inconclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As on the Certified Lists for 21 May 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,,,,,,,,,,,,,,,,
NSW," 133,694 "," 401,838 "," 418,542 "," 440,071 "," 471,024 "," 457,218 "," 455,270 "," 461,390 "," 438,806 "," 439,807 "," 390,187 "," 964,622 "," 5,472,469 ",,,,,,,,,,,,,,,,,
BANKS                    ," 2,829 "," 8,184 "," 7,792 "," 8,093 "," 8,830 "," 8,905 "," 8,981 "," 9,326 "," 9,224 "," 9,068 "," 7,536 "," 19,018 "," 107,786 ",,,,,,,,,,,,,,,,,
Female," 1,418 "," 4,070 "," 3,727 "," 4,041 "," 4,423 "," 4,575 "," 4,688 "," 4,862 "," 4,693 "," 4,607 "," 3,870 "," 10,575 "," 55,549 ",,,,,,,,,,,,,,,,,
Male," 1,405 "," 4,104 "," 4,058 "," 4,050 "," 4,402 "," 4,327 "," 4,288 "," 4,464 "," 4,531 "," 4,459 "," 3,665 "," 8,442 "," 52,195 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 6 , 10 , 7 , 2 , 5 , 3 , 5 , - , - , 2 , 1 , 1 , 42 ,,,,,,,,,,,,,,,,,
BARTON                   ," 2,324 "," 7,700 "," 8,851 "," 9,856 "," 10,521 "," 9,647 "," 9,470 "," 9,532 "," 8,942 "," 7,982 "," 6,918 "," 18,741 "," 110,484 ",,,,,,,,,,,,,,,,,
Female," 1,122 "," 3,818 "," 4,298 "," 4,861 "," 5,221 "," 4,726 "," 4,803 "," 4,882 "," 4,524 "," 4,070 "," 3,583 "," 10,071 "," 55,979 ",,,,,,,,,,,,,,,,,
Male," 1,195 "," 3,865 "," 4,539 "," 4,984 "," 5,293 "," 4,914 "," 4,664 "," 4,647 "," 4,415 "," 3,908 "," 3,334 "," 8,668 "," 54,426 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 7 , 17 , 14 , 11 , 7 , 7 , 3 , 3 , 3 , 4 , 1 , 2 , 79 ,,,,,,,,,,,,,,,,,
BENNELONG                ," 2,946 "," 8,803 "," 9,357 "," 9,641 "," 10,876 "," 10,530 "," 9,682 "," 9,501 "," 9,367 "," 8,710 "," 7,535 "," 18,082 "," 115,030 ",,,,,,,,,,,,,,,,,
Female," 1,490 "," 4,199 "," 4,413 "," 4,640 "," 5,341 "," 5,234 "," 4,915 "," 4,974 "," 4,813 "," 4,514 "," 3,940 "," 9,941 "," 58,414 ",,,,,,,,,,,,,,,,,
Male," 1,445 "," 4,584 "," 4,920 "," 4,992 "," 5,531 "," 5,291 "," 4,764 "," 4,525 "," 4,552 "," 4,193 "," 3,594 "," 8,140 "," 56,531 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 11 , 20 , 24 , 9 , 4 , 5 , 3 , 2 , 2 , 3 , 1 , 1 , 85 ,,,,,,,,,,,,,,,,,
BEROWRA                  ," 3,371 "," 8,671 "," 6,187 "," 5,665 "," 7,201 "," 9,144 "," 10,132 "," 10,305 "," 9,487 "," 9,085 "," 7,609 "," 19,346 "," 106,203 ",,,,,,,,,,,,,,,,,
Female," 1,671 "," 4,061 "," 2,817 "," 2,814 "," 3,705 "," 4,834 "," 5,118 "," 5,370 "," 4,877 "," 4,612 "," 3,870 "," 10,349 "," 54,098 ",,,,,,,,,,,,,,,,,
Male," 1,690 "," 4,600 "," 3,365 "," 2,850 "," 3,491 "," 4,309 "," 5,012 "," 4,933 "," 4,609 "," 4,472 "," 3,738 "," 8,995 "," 52,064 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, 10 , 10 , 5 , 1 , 5 , 1 , 2 , 2 , 1 , 1 , 1 , 2 , 41 ,,,,,,,,,,,,,,,,,
